,pH,N,P,K,Class
WITH AP STEM PALENGKE CALOOCAN,6.22,128,45,64,Ammonium Phosphate
WITH AP STEM PALENGKE CALOOCAN,6.34,128,45,64,Ammonium Phosphate
WITH AP STEM PALENGKE CALOOCAN,6.27,128,45,64,Ammonium Phosphate
WITH AP STEM PALENGKE CALOOCAN,6.26,128,45,64,Ammonium Phosphate
WITH AP STEM PALENGKE CALOOCAN,6.23,128,45,64,Ammonium Phosphate
WITH AP STEM PALENGKE CALOOCAN,6.21,128,45,64,Ammonium Phosphate
WITH AP STEM PALENGKE CALOOCAN,6.31,128,45,64,Ammonium Phosphate
WITH AP STEM PALENGKE CALOOCAN,6.25,128,45,64,Ammonium Phosphate
WITH AP STEM PALENGKE CALOOCAN,6.24,128,45,64,Ammonium Phosphate
WITH AP STEM PALENGKE CALOOCAN,6.21,128,45,64,Ammonium Phosphate
WITH AP UNWASHED SAN LAZARO,6.17,128,45,63,Ammonium Phosphate
WITH AP UNWASHED SAN LAZARO,6.14,127,45,63,Ammonium Phosphate
WITH AP UNWASHED SAN LAZARO,6.13,127,45,64,Ammonium Phosphate
WITH AP UNWASHED SAN LAZARO,6.2,128,45,64,Ammonium Phosphate
WITH AP UNWASHED SAN LAZARO,6.18,128,45,64,Ammonium Phosphate
WITH AP UNWASHED SAN LAZARO,6.17,128,45,64,Ammonium Phosphate
WITH AP UNWASHED SAN LAZARO,6.13,128,45,64,Ammonium Phosphate
WITH AP UNWASHED SAN LAZARO,6.26,128,45,64,Ammonium Phosphate
WITH AP UNWASHED SAN LAZARO,6.2,128,45,64,Ammonium Phosphate
WITH AP UNWASHED SAN LAZARO,6.19,128,45,64,Ammonium Phosphate
WITH AP STEM SAN LAZARO,6.27,127,45,63,Ammonium Phosphate
WITH AP STEM SAN LAZARO,6.26,127,45,63,Ammonium Phosphate
WITH AP STEM SAN LAZARO,6.28,127,45,63,Ammonium Phosphate
WITH AP STEM SAN LAZARO,6.33,127,45,63,Ammonium Phosphate
WITH AP STEM SAN LAZARO,6.32,127,45,63,Ammonium Phosphate
WITH AP STEM SAN LAZARO,6.27,127,45,63,Ammonium Phosphate
WITH AP STEM SAN LAZARO,6.26,127,45,63,Ammonium Phosphate
WITH AP STEM SAN LAZARO,6.27,127,45,63,Ammonium Phosphate
WITH AP STEM SAN LAZARO,6.33,127,45,63,Ammonium Phosphate
WITH AP STEM SAN LAZARO,6.29,127,45,63,Ammonium Phosphate
WITH MAL STEM SAN LAZARO,6.4,127,45,63,Ammonium Phosphate
WITH MAL STEM SAN LAZARO,6.5,127,45,63,Ammonium Phosphate
WITH MAL STEM SAN LAZARO,6.47,127,45,63,Ammonium Phosphate
WITH MAL STEM SAN LAZARO,6.46,127,45,63,Ammonium Phosphate
WITH MAL STEM SAN LAZARO,6.41,127,45,63,Ammonium Phosphate
WITH MAL STEM SAN LAZARO,6.56,127,45,63,Ammonium Phosphate
WITH MAL STEM SAN LAZARO,6.5,127,45,63,Ammonium Phosphate
WITH MAL STEM SAN LAZARO,6.48,127,45,63,Ammonium Phosphate
WITH MAL STEM SAN LAZARO,6.45,126,45,63,Ammonium Phosphate
WITH MAL STEM SAN LAZARO,6.48,126,45,63,Ammonium Phosphate
WITH AP UNWASHED PALENGKE CALOOCAN,6.18,127,45,63,Ammonium Phosphate
WITH AP UNWASHED PALENGKE CALOOCAN,6.13,127,45,63,Ammonium Phosphate
