pH,N,P,K,Class
6.22,128,45,64,Ammonium Phosphate
6.34,128,45,64,Ammonium Phosphate
6.27,128,45,64,Ammonium Phosphate
6.26,128,45,64,Ammonium Phosphate
6.23,128,45,64,Ammonium Phosphate
6.21,128,45,64,Ammonium Phosphate
6.31,128,45,64,Ammonium Phosphate
6.25,128,45,64,Ammonium Phosphate
6.24,128,45,64,Ammonium Phosphate
6.21,128,45,64,Ammonium Phosphate
6.27,127,45,63,Ammonium Phosphate
6.26,127,45,63,Ammonium Phosphate
6.28,127,45,63,Ammonium Phosphate
6.33,127,45,63,Ammonium Phosphate
6.32,127,45,63,Ammonium Phosphate
6.27,127,45,63,Ammonium Phosphate
6.26,127,45,63,Ammonium Phosphate
6.27,127,45,63,Ammonium Phosphate
6.33,127,45,63,Ammonium Phosphate
6.29,127,45,63,Ammonium Phosphate
5.82,128,46,64,Ammonium Phosphate
5.79,128,46,64,Ammonium Phosphate
5.75,128,46,64,Ammonium Phosphate
5.74,128,46,64,Ammonium Phosphate
5.87,128,45,64,Ammonium Phosphate
5.79,128,45,64,Ammonium Phosphate
5.78,128,45,64,Ammonium Phosphate
5.74,128,45,64,Ammonium Phosphate
5.73,128,45,64,Ammonium Phosphate
5.81,128,45,64,Ammonium Phosphate
5.66,126,45,63,Ammonium Phosphate
5.73,126,45,63,Ammonium Phosphate
5.71,126,45,63,Ammonium Phosphate
5.68,126,45,63,Ammonium Phosphate
5.66,126,45,63,Ammonium Phosphate
5.70,126,45,63,Ammonium Phosphate
5.70,126,45,63,Ammonium Phosphate
5.69,126,45,63,Ammonium Phosphate
5.68,126,45,63,Ammonium Phosphate
5.71,127,45,63,Ammonium Phosphate
6.18,127,45,63,Ammonium Phosphate
6.13,127,45,63,Ammonium Phosphate
6.12,127,45,63,Ammonium Phosphate
6.2,127,45,63,Ammonium Phosphate
6.17,127,45,63,Ammonium Phosphate
6.16,127,45,63,Ammonium Phosphate
6.12,127,45,63,Ammonium Phosphate
6.2,127,45,64,Ammonium Phosphate
6.2,128,46,64,Ammonium Phosphate
6.19,129,46,64,Ammonium Phosphate
6.17,128,45,63,Ammonium Phosphate
6.14,127,45,63,Ammonium Phosphate
6.13,127,45,64,Ammonium Phosphate
6.20,128,45,64,Ammonium Phosphate
6.18,128,45,64,Ammonium Phosphate
6.17,128,45,64,Ammonium Phosphate
6.13,128,45,64,Ammonium Phosphate
6.26,128,45,64,Ammonium Phosphate
6.20,128,45,64,Ammonium Phosphate
6.19,128,45,64,Ammonium Phosphate
5.70,129,46,64,Ammonium Phosphate
5.69,129,46,64,Ammonium Phosphate
5.76,129,46,64,Ammonium Phosphate
5.74,129,46,64,Ammonium Phosphate
5.74,129,46,64,Ammonium Phosphate
5.70,129,46,64,Ammonium Phosphate
5.82,128,46,64,Ammonium Phosphate
5.76,128,46,64,Ammonium Phosphate
5.74,128,46,64,Ammonium Phosphate
5.73,128,46,64,Ammonium Phosphate
6.61,126,45,63,Ammonium Phosphate
6.60,126,45,63,Ammonium Phosphate
6.60,126,45,63,Ammonium Phosphate
6.54,126,45,63,Ammonium Phosphate
6.53,127,45,64,Ammonium Phosphate
6.63,128,45,63,Ammonium Phosphate
6.60,127,45,63,Ammonium Phosphate
6.58,127,45,63,Ammonium Phosphate
6.53,127,45,63,Ammonium Phosphate
6.67,127,45,63,Ammonium Phosphate
6.40,127,45,63,Ammonium Phosphate
6.50,127,45,63,Ammonium Phosphate
6.47,127,45,63,Ammonium Phosphate
6.46,127,45,63,Ammonium Phosphate
6.41,127,45,63,Ammonium Phosphate
6.56,127,45,63,Ammonium Phosphate
6.50,127,45,63,Ammonium Phosphate
6.48,127,45,63,Ammonium Phosphate
6.45,126,45,63,Ammonium Phosphate
6.48,126,45,63,Ammonium Phosphate
7.22,106,39,55,NONE
7.18,110,39,55,NONE
7.14,110,38,54,NONE
7.13,108,38,54,NONE
7.23,107,38,53,NONE
7.21,107,38,53,NONE
7.20,107,38,53,NONE
7.17,107,38,53,NONE
7.21,107,38,53,NONE
7.27,107,38,53,NONE
6.86,87,31,44,NONE
6.85,88,31,44,NONE
6.96,88,31,44,NONE
6.92,88,31,44,NONE
6.90,88,31,44,NONE
6.85,89,31,44,NONE
7.00,89,31,44,NONE
6.94,89,32,44,NONE
6.92,89,32,44,NONE
6.88,89,32,45,NONE
7.32,76,27,38,NONE
7.15,76,27,38,NONE
7.35,76,27,38,NONE
7.33,76,27,38,NONE
7.34,77,27,38,NONE
7.28,77,27,38,NONE
7.22,77,27,38,NONE
7.34,77,27,38,NONE
7.34,77,25,35,NONE
7.41,70,26,36,NONE
6.79,117,41,58,NONE
6.79,116,41,58,NONE
6.77,116,41,58,NONE
6.84,116,41,58,NONE
6.83,117,41,58,NONE
6.81,117,41,58,NONE
6.82,117,41,58,NONE
6.85,117,41,58,NONE
6.87,117,41,58,NONE
6.81,117,41,58,NONE
6.96,93,33,46,NONE
7.03,93,33,46,NONE
7.06,93,33,46,NONE
7.04,93,33,47,NONE
6.99,94,33,46,NONE
6.94,93,33,46,NONE
7.03,93,33,46,NONE
6.98,92,33,46,NONE
6.96,92,33,46,NONE
6.92,92,33,46,NONE
6.90,119,41,57,NONE
6.92,114,40,56,NONE
6.95,113,40,56,NONE
6.90,113,40,56,NONE
6.91,113,40,56,NONE
6.93,113,40,56,NONE
6.95,113,40,56,NONE
6.92,113,40,56,NONE
6.88,113,40,56,NONE
6.96,113,40,56,NONE
6.57,115,41,57,NONE
6.53,115,41,57,NONE
6.53,115,41,57,NONE
6.63,115,41,58,NONE
6.60,116,41,58,NONE
6.60,116,41,58,NONE
6.56,116,41,58,NONE
6.55,116,41,58,NONE
6.52,116,41,58,NONE
6.51,116,41,58,NONE
7.30,108,38,54,NONE
7.30,109,39,54,NONE
7.34,109,39,54,NONE
7.33,109,39,54,NONE
7.40,109,39,54,NONE
7.34,109,38,54,NONE
7.36,108,38,54,NONE
7.34,109,39,54,NONE
7.29,109,39,54,NONE
7.32,109,39,54,NONE
5.79,113,40,56,NONE
5.83,113,40,57,NONE
5.93,114,40,57,NONE
5.94,114,40,57,NONE
5.98,114,41,57,NONE
5.93,115,41,58,NONE
6.02,116,41,58,NONE
6.15,116,41,58,NONE
6.18,117,41,58,NONE
6.19,117,41,58,NONE
