               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11037,            0.056233,            0.029191,             0.14317,             0.26275,            0.094626,            0.019169,            0.085771,            0.051125,            0.026312,             0.00058,             0.00058,             0.09478
                   1,            0.075789,            0.057412,            0.025684,             0.49529,             0.77009,             0.63536,             0.28018,            0.048148,            0.036487,            0.023257,           0.0011699,           0.0011699,             0.08947
                   2,            0.061454,            0.044039,            0.020425,             0.51098,             0.68176,             0.56195,             0.15066,            0.056799,            0.029041,            0.012232,           0.0017593,           0.0017593,            0.084159
                   3,            0.067272,            0.039071,            0.010901,             0.53839,             0.78764,             0.62648,             0.21716,            0.052593,            0.025124,           0.0046629,           0.0023479,           0.0023479,            0.078848
                   4,            0.062208,             0.03599,           0.0058323,             0.71924,             0.79854,              0.8135,             0.35773,            0.048485,            0.024466,           0.0032175,           0.0029354,           0.0029354,            0.073535
                   5,            0.056887,            0.035228,           0.0042286,             0.74741,             0.92201,             0.88523,             0.37631,            0.040349,            0.022383,           0.0041766,           0.0035213,           0.0035213,            0.068221
                   6,            0.054662,            0.034075,           0.0037097,             0.76198,             0.89694,             0.89651,              0.3609,            0.039359,            0.021047,           0.0027925,           0.0041054,           0.0041054,            0.062905
                   7,            0.049731,            0.033219,           0.0031902,             0.58336,             0.89456,             0.74751,             0.28769,            0.042297,            0.020976,           0.0031665,           0.0046873,           0.0046873,            0.057587
                   8,            0.051805,            0.031727,           0.0031678,             0.89489,             0.91423,             0.95725,             0.51689,            0.039791,            0.020049,           0.0023482,           0.0052666,           0.0052666,            0.052267
                   9,            0.050643,            0.031127,           0.0032926,             0.96596,             0.93222,             0.97974,             0.41477,            0.043483,            0.020826,           0.0025922,           0.0058431,           0.0058431,            0.046943
                  10,            0.048321,            0.031706,           0.0029822,              0.7253,             0.88928,              0.8733,             0.44335,            0.037697,            0.020127,           0.0019087,           0.0064163,           0.0064163,            0.041616
                  11,            0.045697,            0.029103,           0.0029348,             0.96833,             0.97631,             0.98775,             0.67471,            0.026366,            0.017931,           0.0026584,           0.0069859,           0.0069859,            0.036286
                  12,            0.042304,            0.028366,           0.0027299,              0.9621,             0.97807,             0.99026,              0.6117,            0.033112,            0.018875,           0.0026819,           0.0075517,           0.0075517,            0.030952
                  13,            0.041759,            0.028346,           0.0026608,             0.76736,             0.97195,             0.89584,              0.5378,            0.030702,            0.017849,           0.0021313,           0.0081132,           0.0081132,            0.025613
                  14,            0.043527,            0.031858,           0.0024801,             0.80849,             0.92972,             0.92646,             0.50656,            0.031692,            0.018769,           0.0020116,           0.0086702,           0.0086702,             0.02027
                  15,            0.041567,            0.028964,           0.0024879,             0.90134,             0.94793,              0.9643,             0.57517,             0.03205,            0.018089,           0.0016407,           0.0092223,           0.0092223,            0.014922
                  16,            0.039507,            0.028077,           0.0023068,             0.96618,             0.96919,             0.98772,             0.63702,            0.026734,            0.016876,           0.0015158,           0.0097497,           0.0097497,           0.0097497
                  17,            0.040196,            0.031756,            0.011815,              0.8762,             0.84364,             0.90572,             0.58437,            0.029938,            0.024711,           0.0066327,           0.0097497,           0.0097497,           0.0097497
                  18,            0.038199,            0.029956,           0.0046424,             0.96962,             0.97966,             0.98737,             0.66434,            0.026823,            0.019002,           0.0027325,           0.0097178,           0.0097178,           0.0097178
                  19,            0.036399,            0.029335,           0.0027271,             0.92998,             0.92617,             0.97552,             0.65472,            0.027724,            0.020193,           0.0054456,            0.009684,            0.009684,            0.009684
                  20,            0.034339,            0.027376,           0.0025033,             0.98307,             0.97947,             0.99051,             0.72422,            0.023207,            0.016808,           0.0017153,           0.0096484,           0.0096484,           0.0096484
                  21,             0.03124,            0.025365,           0.0022803,             0.98308,             0.97342,             0.99123,              0.7666,            0.021222,            0.015861,           0.0023424,            0.009611,            0.009611,            0.009611
                  22,            0.031758,            0.025544,            0.002045,             0.98802,             0.99107,             0.99208,              0.7751,            0.020598,             0.01482,           0.0013816,           0.0095717,           0.0095717,           0.0095717
                  23,            0.029081,            0.024184,           0.0017649,             0.98914,              0.9942,             0.99137,              0.8173,              0.0183,            0.014145,           0.0019921,           0.0095307,           0.0095307,           0.0095307
                  24,            0.028509,            0.024006,           0.0018092,             0.98805,              0.9984,             0.99284,             0.80195,            0.020657,            0.014309,           0.0010968,           0.0094879,           0.0094879,           0.0094879
                  25,            0.027841,            0.023833,           0.0018378,             0.99168,             0.98965,             0.99242,             0.83489,            0.017688,            0.014433,            0.001401,           0.0094434,           0.0094434,           0.0094434
                  26,            0.028887,            0.023723,           0.0015801,             0.98499,             0.99078,             0.98959,             0.80071,            0.020898,            0.014181,           0.0015684,           0.0093971,           0.0093971,           0.0093971
                  27,            0.027194,             0.02194,           0.0016291,             0.99333,             0.99715,             0.99427,             0.86924,            0.016011,              0.0129,            0.001014,           0.0093491,           0.0093491,           0.0093491
                  28,            0.025234,            0.021984,           0.0014611,             0.99381,             0.99286,             0.99363,             0.77564,            0.018054,            0.013402,           0.0013371,           0.0092995,           0.0092995,           0.0092995
                  29,            0.025254,            0.021673,           0.0013703,             0.99477,             0.99614,             0.99323,             0.84779,            0.016748,            0.013107,           0.0010604,           0.0092481,           0.0092481,           0.0092481
                  30,            0.026901,            0.022397,           0.0013854,             0.99497,             0.99787,             0.99316,             0.82856,             0.01584,            0.012988,          0.00085431,           0.0091952,           0.0091952,           0.0091952
                  31,            0.025852,            0.022077,           0.0014571,             0.99344,             0.99621,             0.99319,             0.84426,            0.015642,            0.012537,           0.0012721,           0.0091406,           0.0091406,           0.0091406
                  32,            0.024663,            0.021256,           0.0014362,             0.99524,             0.99401,             0.99369,             0.87865,            0.014348,             0.01192,          0.00080753,           0.0090844,           0.0090844,           0.0090844
                  33,            0.024852,            0.021954,           0.0011427,             0.99494,             0.99716,             0.99389,             0.86261,             0.01473,            0.012645,          0.00094478,           0.0090266,           0.0090266,           0.0090266
                  34,             0.02467,            0.021621,            0.001204,             0.99518,             0.99733,             0.99381,             0.81147,            0.016659,            0.012494,          0.00077869,           0.0089673,           0.0089673,           0.0089673
                  35,            0.024213,             0.02054,           0.0010919,             0.99262,             0.99614,             0.99386,             0.88023,            0.014231,            0.011974,           0.0008108,           0.0089065,           0.0089065,           0.0089065
                  36,            0.023876,            0.020142,           0.0012177,             0.98445,             0.98975,             0.99251,             0.80834,            0.016391,            0.012529,            0.002064,           0.0088442,           0.0088442,           0.0088442
                  37,            0.023632,            0.021058,           0.0011102,             0.99446,             0.99645,             0.99388,             0.87507,            0.014411,            0.011967,          0.00077456,           0.0087804,           0.0087804,           0.0087804
                  38,            0.022455,            0.019758,           0.0012665,             0.97667,             0.97354,             0.98955,             0.87587,            0.014951,            0.012756,           0.0026915,           0.0087151,           0.0087151,           0.0087151
                  39,            0.023901,            0.021112,           0.0011302,             0.99524,             0.99836,             0.99293,             0.88147,            0.014046,            0.011806,            0.000866,           0.0086485,           0.0086485,           0.0086485
                  40,            0.022132,            0.019681,           0.0012664,             0.99504,             0.99778,             0.99255,             0.88904,            0.013941,            0.011625,           0.0011259,           0.0085805,           0.0085805,           0.0085805
                  41,            0.021753,            0.019135,           0.0011453,             0.99336,             0.99729,             0.99413,             0.83643,            0.014984,            0.012051,          0.00075287,           0.0085111,           0.0085111,           0.0085111
                  42,             0.02277,            0.019725,           0.0010999,             0.99659,             0.99733,             0.99344,              0.8826,            0.013255,            0.011059,          0.00098676,           0.0084404,           0.0084404,           0.0084404
                  43,            0.022047,            0.019505,           0.0011084,             0.99432,             0.99789,             0.99243,             0.86524,            0.013284,            0.011235,          0.00073101,           0.0083684,           0.0083684,           0.0083684
                  44,             0.02225,            0.020065,          0.00090187,             0.99341,             0.99819,             0.99418,             0.88697,             0.01261,            0.010911,          0.00095933,           0.0082952,           0.0082952,           0.0082952
