               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11453,            0.035552,            0.026561,             0.33051,             0.37645,             0.25376,            0.052356,            0.092564,            0.031618,            0.021357,           0.0032864,           0.0032864,            0.070423
                   1,            0.090027,            0.031166,             0.01232,             0.31083,             0.54113,             0.33837,            0.074871,            0.093227,            0.021719,           0.0052262,            0.006576,            0.006576,            0.040379
                   2,            0.082975,            0.027854,           0.0066945,             0.21271,             0.65335,             0.22584,            0.060083,            0.084845,            0.029281,           0.0036851,           0.0098217,           0.0098217,            0.010291
                   3,            0.073336,            0.027794,           0.0048143,             0.53526,             0.73916,             0.57631,             0.19438,            0.063257,            0.022642,           0.0036363,            0.009802,            0.009802,            0.009802
                   4,            0.062362,            0.026489,           0.0036315,              0.8415,             0.86812,             0.89362,              0.2831,             0.06113,            0.021049,           0.0025919,            0.009802,            0.009802,            0.009802
                   5,            0.056673,            0.024678,           0.0028492,             0.93911,             0.93319,             0.97207,             0.49234,            0.049302,            0.019683,           0.0027961,            0.009736,            0.009736,            0.009736
                   6,            0.052103,            0.023779,           0.0025535,             0.71787,              0.8887,             0.82365,             0.43841,            0.048357,            0.018163,           0.0026764,             0.00967,             0.00967,             0.00967
                   7,            0.051507,            0.022542,           0.0023028,             0.97066,             0.98206,             0.98894,             0.47558,            0.049234,            0.017666,           0.0020749,            0.009604,            0.009604,            0.009604
                   8,            0.047853,            0.022115,           0.0022479,             0.95424,             0.93603,             0.98195,             0.61909,            0.041919,            0.016522,           0.0042017,            0.009538,            0.009538,            0.009538
                   9,            0.047201,            0.021561,           0.0020831,             0.96118,             0.96073,             0.97857,             0.63506,              0.0406,            0.016363,           0.0022564,            0.009472,            0.009472,            0.009472
                  10,            0.046515,            0.021018,           0.0021325,             0.94193,             0.92171,             0.97932,             0.57622,            0.045082,            0.016066,           0.0045759,            0.009406,            0.009406,            0.009406
                  11,             0.04548,            0.020371,           0.0021277,             0.98434,             0.97844,             0.99335,             0.67133,            0.040579,             0.01548,           0.0013818,             0.00934,             0.00934,             0.00934
                  12,            0.043275,            0.020272,           0.0018678,             0.98548,             0.98683,             0.99382,              0.6816,            0.037013,            0.015085,           0.0012889,            0.009274,            0.009274,            0.009274
                  13,             0.04095,            0.020452,           0.0031335,             0.83387,             0.65529,             0.76548,              0.4006,            0.053238,            0.025797,           0.0061814,            0.009208,            0.009208,            0.009208
                  14,            0.042326,            0.021161,           0.0024698,             0.97757,             0.95672,             0.98893,             0.67637,            0.037985,            0.016292,           0.0017533,            0.009142,            0.009142,            0.009142
                  15,            0.041545,            0.020773,           0.0020766,             0.97654,             0.95382,             0.98809,             0.69795,            0.036126,            0.014804,           0.0021307,            0.009076,            0.009076,            0.009076
                  16,            0.040698,            0.019521,            0.001648,             0.98101,             0.95876,             0.98919,             0.71117,            0.036363,            0.015025,           0.0016718,             0.00901,             0.00901,             0.00901
                  17,            0.040916,            0.019849,           0.0020076,             0.98637,             0.97863,             0.99262,             0.72843,            0.034984,            0.013901,           0.0013142,            0.008944,            0.008944,            0.008944
                  18,            0.038436,            0.018174,            0.001848,             0.99032,             0.97215,             0.99214,             0.74148,            0.033714,            0.013675,           0.0015392,            0.008878,            0.008878,            0.008878
                  19,            0.040442,            0.018939,           0.0013781,             0.99493,             0.98596,             0.99406,             0.72084,             0.03641,            0.013718,           0.0010142,            0.008812,            0.008812,            0.008812
                  20,            0.039139,            0.018816,           0.0015159,             0.99491,             0.99149,             0.99452,             0.78154,            0.032288,            0.013281,          0.00098307,            0.008746,            0.008746,            0.008746
                  21,            0.039398,            0.018732,            0.001375,             0.99366,             0.99248,             0.99477,             0.77937,            0.032321,            0.013166,           0.0010858,             0.00868,             0.00868,             0.00868
                  22,            0.037561,            0.018175,            0.001324,             0.99641,             0.98327,              0.9941,             0.78874,            0.032674,            0.012832,           0.0013401,            0.008614,            0.008614,            0.008614
                  23,            0.035509,            0.017105,           0.0013451,             0.99588,             0.98328,             0.99466,              0.7828,            0.032169,            0.012818,          0.00098128,            0.008548,            0.008548,            0.008548
                  24,            0.036007,            0.017354,           0.0013132,             0.99538,             0.98276,             0.99437,             0.76879,            0.032665,            0.013081,            0.001164,            0.008482,            0.008482,            0.008482
                  25,             0.03539,            0.017375,           0.0013276,             0.99052,             0.98777,             0.99422,             0.76448,            0.032835,            0.012819,           0.0011946,            0.008416,            0.008416,            0.008416
                  26,            0.035759,            0.017354,           0.0013494,             0.99487,             0.98342,             0.99454,             0.80256,            0.032083,            0.012585,           0.0011063,             0.00835,             0.00835,             0.00835
                  27,            0.035102,            0.017036,           0.0012602,             0.99691,             0.98802,             0.99486,             0.78869,             0.03138,            0.012203,          0.00090354,            0.008284,            0.008284,            0.008284
                  28,            0.034817,            0.017271,           0.0013495,             0.98342,             0.98495,             0.99424,             0.70821,            0.034227,            0.012993,           0.0012788,            0.008218,            0.008218,            0.008218
                  29,            0.034067,            0.016321,           0.0012772,             0.99544,             0.98691,             0.99476,               0.789,            0.032627,            0.012289,           0.0010819,            0.008152,            0.008152,            0.008152
                  30,            0.034548,            0.016826,           0.0012066,             0.99449,             0.99231,              0.9949,             0.81666,            0.030541,            0.012067,          0.00080039,            0.008086,            0.008086,            0.008086
                  31,            0.033969,            0.016785,           0.0011574,             0.99106,             0.99098,             0.99477,             0.77672,            0.032165,            0.012499,          0.00083496,             0.00802,             0.00802,             0.00802
                  32,            0.034483,            0.016786,           0.0012184,             0.99494,             0.98897,             0.99486,             0.81759,            0.029871,            0.011542,          0.00089273,            0.007954,            0.007954,            0.007954
                  33,            0.033997,            0.016333,           0.0010826,             0.99746,             0.98288,             0.99469,             0.82702,            0.029656,            0.011673,          0.00084759,            0.007888,            0.007888,            0.007888
                  34,             0.03359,            0.015992,           0.0012805,             0.99448,             0.98884,             0.99452,             0.83008,            0.029418,            0.011705,          0.00095304,            0.007822,            0.007822,            0.007822
                  35,            0.032828,             0.01608,           0.0011173,             0.99641,             0.98534,              0.9945,             0.79358,            0.030657,            0.012035,          0.00072485,            0.007756,            0.007756,            0.007756
                  36,            0.033196,            0.016547,            0.001249,             0.99332,             0.98995,             0.99483,             0.82145,            0.030252,            0.011514,          0.00072747,             0.00769,             0.00769,             0.00769
                  37,             0.03273,            0.016161,           0.0011949,             0.99397,             0.99157,             0.99482,             0.84035,            0.028631,              0.0114,          0.00087347,            0.007624,            0.007624,            0.007624
                  38,            0.031887,            0.015534,          0.00099645,             0.99493,             0.98988,             0.99454,             0.85084,            0.028612,            0.011107,          0.00067453,            0.007558,            0.007558,            0.007558
                  39,            0.031711,            0.015586,           0.0011111,             0.99397,             0.98365,              0.9936,             0.81952,            0.029568,            0.011474,           0.0010004,            0.007492,            0.007492,            0.007492
                  40,            0.031889,            0.015659,          0.00090718,             0.99395,             0.99098,             0.99489,             0.81047,            0.030147,            0.011436,            0.000812,            0.007426,            0.007426,            0.007426
                  41,            0.032124,            0.015714,           0.0013212,              0.9491,             0.92611,             0.97839,             0.80374,            0.028838,            0.011933,           0.0075733,             0.00736,             0.00736,             0.00736
                  42,            0.032355,            0.016256,           0.0010648,             0.99496,             0.99228,             0.99489,             0.84552,            0.027782,            0.011084,          0.00081834,            0.007294,            0.007294,            0.007294
                  43,            0.031843,            0.015552,           0.0011896,             0.99453,             0.98647,             0.99473,             0.82371,            0.029013,            0.011351,            0.000869,            0.007228,            0.007228,            0.007228
                  44,             0.03187,            0.016039,          0.00094327,             0.99282,             0.98746,             0.99442,             0.83353,            0.027785,            0.011031,           0.0010072,            0.007162,            0.007162,            0.007162
                  45,            0.031003,            0.015519,          0.00096524,              0.9963,             0.98747,             0.99487,             0.82864,            0.028116,            0.010987,           0.0008041,            0.007096,            0.007096,            0.007096
                  46,            0.032352,            0.015603,           0.0010313,             0.99645,             0.99313,             0.99498,             0.84093,            0.027647,             0.01099,          0.00062802,             0.00703,             0.00703,             0.00703
                  47,            0.031025,            0.015472,           0.0010102,               0.996,              0.9955,             0.99497,              0.8384,            0.027906,            0.010723,          0.00070093,            0.006964,            0.006964,            0.006964
                  48,            0.031452,            0.014759,           0.0010385,             0.99696,             0.99089,             0.99457,             0.84619,             0.02667,             0.01063,          0.00089379,            0.006898,            0.006898,            0.006898
                  49,            0.030761,            0.014755,          0.00089726,             0.99782,             0.99397,             0.99498,             0.85587,            0.026914,            0.010288,          0.00069253,            0.006832,            0.006832,            0.006832
                  50,            0.030771,            0.015123,          0.00098945,             0.99648,             0.99138,             0.99492,             0.84134,            0.027086,            0.010767,          0.00077658,            0.006766,            0.006766,            0.006766
                  51,            0.030563,            0.014825,           0.0010318,             0.90718,             0.90108,             0.97729,             0.82533,            0.027097,            0.010757,            0.010074,              0.0067,              0.0067,              0.0067
                  52,            0.029985,            0.014952,           0.0010394,             0.99445,             0.99248,              0.9949,             0.85139,            0.026838,            0.010469,          0.00071055,            0.006634,            0.006634,            0.006634
                  53,            0.029854,            0.014648,          0.00090978,             0.99631,             0.99699,             0.99496,             0.85479,            0.027014,            0.010356,          0.00073761,            0.006568,            0.006568,            0.006568
                  54,            0.029342,            0.014436,            0.001002,             0.99552,             0.99649,             0.99497,             0.86625,            0.025812,            0.010123,          0.00070473,            0.006502,            0.006502,            0.006502
